old_category,new_category,prey_category,prey_group,prey_group_less,habitat,gelatinous,body_type,functional,three_groups
Neocalanus_cristatus,Neocalanus,Neocalanus,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Neocalanus_plumchrus,Neocalanus,Neocalanus,Calanoids_Large,Calanoids_Large,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Neotrypaea_californiensis_Zoea_I,Neotrypaea_californiensis_Zoea,Callianassidae_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Neotrypaea_californiensis_Zoea_II,Neotrypaea_californiensis_Zoea,Callianassidae_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Neotrypaea_californiensis_Zoea_III,Neotrypaea_californiensis_Zoea,Callianassidae_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Oikopleura,Oikopleura,Oikopleura,Larvaceans,Larvaceans,Pelagic,Gelatinous,Gelatinous,,Gelatinous
Oithona,Cyclopoida,Oithona,Cyclopoids,Copepods_Other,Pelagic,Non-gelatinous,Crustacean,,Crustacean
Oregonia_gracilis_Zoea_II,Oregonia_gracilis_Zoea_II,Oregoniidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Ostracoda,Crustacea,Ostracoda,Ostracods,Other,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Paguridae_Zoea_IV,Anomura_Zoea,Anomura_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pagurus_ochotensis_Megalopa,Anomura_Zoea,Anomura_Zoea,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pandalidae_Zoea,Pandalidae_Zoea,Pandalidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
Pandalus_eous_Zoea_IV,Pandalus_Zoea,Pandalidae_Larvae,Decapods,Decapods,Nearshore,Non-gelatinous,Crustacean,,Crustacean
